2025-07-26 13:09:20 - 🚀 Starting User Activity Tracker...
2025-07-26 13:09:20 - 🖥️ Tracking running applications...
2025-07-26 13:09:20 - 📂 Watching folder: C:\Users\hp\OneDrive\Desktop\dummy
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624S
2025-07-26 13:09:20 - 🪟 Running Process: 
2025-07-26 13:09:20 - 🪟 Running Process: Image Name                     PID Session Name        Session#    Mem Usage
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           18584 Console                   29     21,148 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           19852 Console                   29     61,820 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           18356 Console                   29      3,600 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe            8736 Console                   29     26,168 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           24436 Console                   29     21,660 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe            5428 Console                   29      6,580 K
2025-07-26 13:09:20 - 🪟 Running Process: msedgewebview2.exe           15912 Console                   29     21,716 K
2025-07-26 13:09:20 - 🪟 Running Process: HPSystemEventUtilityBackg    15792 Console                   29     43,448 K
2025-07-26 13:09:20 - 🪟 Running Process: unsecapp.exe                  4748 Console                   29      5,232 K
2025-07-26 13:09:20 - 🪟 Running Process: HPSystemEventUtilityHost.    22972 Console                   29     23,512 K
2025-07-26 13:09:20 - 🪟 Running Process: HPMediaNetwork.exe           16276 Console                   29     39,980 K
2025-07-26 13:09:20 - 🪟 Running Process: idea64.exe                   18668 Console                   29  17,45,116 K
2025-07-26 13:09:20 - 🪟 Running Process: HPAudioSwitch.exe             6780 Console                   29     52,332 K
2025-07-26 13:09:20 - 🪟 Running Process: fsnotifier.exe               19244 Console                   29      2,192 K
2025-07-26 13:09:20 - 🪟 Running Process: conhost.exe                   9320 Console                   29      5,004 K
2025-07-26 13:09:20 - 🪟 Running Process: java.exe                     17036 Console                   29   1,16,288 K
2025-07-26 13:09:20 - 🪟 Running Process: conhost.exe                   1708 Console                   29      6,012 K
2025-07-26 13:09:20 - 🪟 Running Process: SearchFilterHost.exe         15804 Services                   0     11,512 K
2025-07-26 13:09:20 - 🪟 Running Process: SearchFilterHost.exe          2228 Services                   0     11,832 K
2025-07-26 13:09:20 - 🪟 Running Process: SearchFilterHost.exe         23404 Services                   0     14,588 K
2025-07-26 13:09:20 - 🪟 Running Process: SearchFilterHost.exe         17920 Services                   0     10,348 K
2025-07-26 13:09:20 - 🪟 Running Process: msedge.exe                   21524 Console                   29   1,71,732 K
2025-07-26 13:09:20 - 🪟 Running Process: msedge.exe                    8124 Console                   29      9,344 K
2025-07-26 13:09:20 - 🪟 Running Process: msedge.exe                   10312 Console                   29     46,512 K
2025-07-26 13:09:20 - 🪟 Running Process: msedge.exe                   16268 Console                   29     86,440 K
2025-07-26 13:09:20 - 🪟 Running Process: msedge.exe                    9636 Console                   29     20,136 K
2025-07-26 13:09:20 - 🪟 Running Process: ApplicationFrameHost.exe      8956 Console                   29     44,000 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  14908 Console                   29     16,368 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  20548 Console                   29     43,876 K
2025-07-26 13:09:20 - 🪟 Running Process: SearchFilterHost.exe         16612 Services                   0     12,248 K
2025-07-26 13:09:20 - 🪟 Running Process: ShellExperienceHost.exe      14788 Console                   29     77,436 K
2025-07-26 13:09:20 - 🪟 Running Process: msedge.exe                   12368 Console                   29   1,47,580 K
2025-07-26 13:09:20 - 🪟 Running Process: RuntimeBroker.exe            21820 Console                   29     23,120 K
2025-07-26 13:09:20 - 🪟 Running Process: msedge.exe                   17552 Console                   29     31,752 K
2025-07-26 13:09:20 - 🪟 Running Process: java.exe                     23312 Console                   29     51,176 K
2025-07-26 13:09:20 - 🪟 Running Process: conhost.exe                   7500 Console                   29      7,100 K
2025-07-26 13:09:20 - 🪟 Running Process: java.exe                       860 Console                   29     49,536 K
2025-07-26 13:09:20 - 🪟 Running Process: conhost.exe                  13068 Console                   29      7,112 K
2025-07-26 13:09:20 - 🪟 Running Process: tasklist.exe                 13304 Console                   29     11,600 K
